year,world_gtco2,region,emissions_gtco2,pct_share
1959,8.854689147428099,China,0.7201515568573484,8.132996482056303
1959,8.854689147428099,India,0.10144725586886826,1.1456896360764315
1959,8.854689147428099,United States,2.83192311731533,31.982185598665318
1959,8.854689147428099,European Union,1.9406097635098662,21.9161817111731
1959,8.854689147428099,Rest of World,3.260557453876685,36.82294657202884
1960,9.387010408095339,China,0.7987999207448506,8.509630713266997
1960,9.387010408095339,India,0.11132505425718525,1.185947915442586
1960,9.387010408095339,United States,2.897315260185226,30.86515444455657
1960,9.387010408095339,European Union,2.0999776536232706,22.371101792027993
1960,9.387010408095339,Rest of World,3.479592519284808,37.06816513470587
1961,9.415042136470143,China,0.5706301867818652,6.060835188102557
1961,9.415042136470143,India,0.12040427618359567,1.278850104315489
1961,9.415042136470143,United States,2.886872700170879,30.66234498291067
1961,9.415042136470143,European Union,2.1996457406031884,23.36310033157082
1961,9.415042136470143,Rest of World,3.6374892327306143,38.63486939310045
1962,9.747287164298088,China,0.4596180740699149,4.715343524025666
1962,9.747287164298088,India,0.132581536541699,1.3601890896095943
1962,9.747287164298088,United States,2.9939020314279836,30.715233694908562
1962,9.747287164298088,European Union,2.3546065415809267,24.156531985692087
1962,9.747287164298088,Rest of World,3.8065789806775636,39.05270170576409
1963,10.266772213584883,China,0.4567794494449653,4.44910474238982
1963,10.266772213584883,India,0.14244414184017315,1.387428676480156
1963,10.266772213584883,United States,3.126487470439275,30.45248696861454
1963,10.266772213584883,European Union,2.5128988347093366,24.4760357241032
1963,10.266772213584883,Rest of World,4.028162317151132,39.234943888412275
1964,10.82446609785044,China,0.46063709416445314,4.2555179165458155
1964,10.82446609785044,India,0.13948826244656498,1.2886387299440574
1964,10.82446609785044,United States,3.2643138045453366,30.156811200079193
1964,10.82446609785044,European Union,2.6442283315004107,24.428256392483974
1964,10.82446609785044,Rest of World,4.315798605193676,39.87077576094697
1965,11.310600441848921,China,0.5002863639440508,4.423163619970206
1965,11.310600441848921,India,0.1537019400537241,1.35891936810915
1965,11.310600441848921,United States,3.3995467555693972,30.056288992325857
1965,11.310600441848921,European Union,2.677125728373574,23.669174259469727
1965,11.310600441848921,Rest of World,4.579939653908175,40.492453760125066
1966,11.862646324054055,China,0.5494593175073462,4.63184438360267
1966,11.862646324054055,India,0.15937340277488696,1.3434894577588752
1966,11.862646324054055,United States,3.5714213141813502,30.10644688057107
1966,11.862646324054055,European Union,2.7586584919478896,23.255000752691405
1966,11.862646324054055,Rest of World,4.823733797642582,40.66321852537599
1967,12.237369275712846,China,0.46022589545446985,3.76082379378603
1967,12.237369275712846,India,0.15955583912402782,1.3038410096906505
1967,12.237369275712846,United States,3.7054609529718263,30.27988180699873
1967,12.237369275712846,European Union,2.820350505959529,23.047032760194604
1967,12.237369275712846,Rest of World,5.091776082202993,41.608420629329984
1968,12.90528307166949,China,0.49550656603587456,3.8395637142097447
1968,12.90528307166949,India,0.17406933573514285,1.3488222983443974
1968,12.90528307166949,United States,3.8409195562562455,29.76238130481678
1968,12.90528307166949,European Union,2.9935901632145097,23.196625340099914
1968,12.90528307166949,Rest of World,5.401197450427718,41.85260734252916
1969,13.761785288614103,China,0.6076833656942292,4.415730611616211
1969,13.761785288614103,India,0.1774133572271702,1.2891739952806431
1969,13.761785288614103,United States,4.035145340419413,29.321379863104784
1969,13.761785288614103,European Union,3.192298841107081,23.19683655977578
1969,13.761785288614103,Rest of World,5.749244384166212,41.77687897022259
1970,14.899124437287373,China,0.8079526265844333,5.422819508523644
1970,14.899124437287373,India,0.18172264515743614,1.2196867401325073
1970,14.899124437287373,United States,4.3396860069355485,29.127121027829062
1970,14.899124437287373,European Union,3.3317866876604647,22.362298547706274
1970,14.899124437287373,Rest of World,6.237976470949491,41.868074175808516
1971,15.503854716903986,China,0.9092097002588906,5.8644106053675245
1971,15.503854716903986,India,0.19196368505621278,1.2381674658426278
1971,15.503854716903986,United States,4.365465254134969,28.157289486048043
1971,15.503854716903986,European Union,3.425789932470308,22.09637535325418
1971,15.503854716903986,Rest of World,6.611426144983606,42.643757089487636
1972,16.224596650076503,China,0.9686455958746376,5.9702291327536345
1972,16.224596650076503,India,0.20303598325111302,1.2514085103629102
1972,16.224596650076503,United States,4.573015379301501,28.18569532377212
1972,16.224596650076503,European Union,3.5560015675761965,21.917349591303577
