country,year,gdp_usd
China,2018,14147765772963.76
China,2019,14560167101283.44
China,2020,14996414166715.092
China,2021,18201698719563.96
China,2022,18316765021690.156
China,2023,18270356654533.215
India,2018,2702929641648.7407
India,2019,2835606256558.195
India,2020,2674851578587.2686
India,2021,3167270623260.4688
India,2022,3249938492013.471
India,2023,3500906030644.764
Japan,2018,5154293721629.556
Japan,2019,5245755000479.025
Japan,2020,5189197543645.384
Japan,2021,5225933520753.097
Japan,2022,4447976207314.783
Japan,2023,4384854269961.9277
Russia,2018,1657328773461.3062
Russia,2019,1693115002708.3157
Russia,2020,1493075894362.1426
Russia,2021,1829186719575.096
Russia,2022,2292495097681.4727
Russia,2023,2046284838151.092
United States,2018,20656516000000
United States,2019,21539982000000
United States,2020,21375281000000
United States,2021,23725645000000
United States,2022,26054614000000
United States,2023,27811517000000
